u,v,weight
0,177,1096.561
0,375,313.556
0,680,805.496
1,375,794.358
5,6,420.239
5,82,1063.053
5,380,372.333
5,628,456.464
6,580,661.804
8,92,949.944
8,222,1969.288
8,271,3163.080
8,536,1171.513
12,13,659.331
12,204,131.119
13,92,832.593
13,165,691.645
13,270,268.823
14,68,221.357
14,84,103.180
14,96,748.109
20,23,4727.376
20,303,475.589
20,304,242.242
24,46,375.308
24,117,1326.686
24,271,1393.799
27,30,340.759
27,158,852.494
27,189,856.973
27,202,876.532
30,182,340.883
30,190,890.469
31,72,1097.420
31,216,840.167
31,493,672.544
31,702,402.810
32,116,1383.052
32,134,2074.661
32,271,1007.868
32,355,687.779
38,112,1070.996
38,117,2385.809
38,134,1367.651
38,435,707.838
38,501,1145.264
39,72,647.210
39,351,3063.248
39,491,642.425
39,493,1135.306
39,573,511.419
40,282,1528.527
42,627,1000.792
46,110,290.857
46,259,1130.447
46,330,1255.188
46,686,586.475
50,55,608.446
50,83,478.338
50,204,312.115
50,711,615.269
55,82,975.811
55,165,1083.980
55,397,742.478
56,153,402.213
56,374,417.143
56,628,307.015
58,68,1356.543
58,233,1730.777
68,721,1788.085
72,741,486.983
73,77,673.124
77,82,759.828
77,153,798.558
77,397,979.413
82,175,944.201
83,169,161.532
83,188,1964.139
83,589,191.694
84,92,996.946
92,130,710.135
93,96,556.762
96,233,1379.509
96,270,803.961
98,100,416.553
98,192,961.440
98,233,606.946
98,468,894.730
100,198,1072.324
100,259,896.241
100,388,2034.382
109,110,229.111
109,646,707.941
115,116,234.096
116,117,274.047
116,564,593.244
130,133,754.274
130,138,1019.056
130,165,758.637
133,164,839.875
133,333,619.748
133,559,936.941
134,571,943.529
134,714,1202.038
138,139,347.547
138,140,476.737
139,140,151.948
140,544,576.042
147,209,1351.790
147,295,284.001
147,391,227.926
147,690,992.499
148,153,526.367
153,380,444.638
155,156,227.030
155,209,480.197
155,219,618.033
155,510,1073.746
156,244,349.100
156,311,367.327
158,177,744.080
158,244,919.904
158,630,784.985
162,164,519.048
164,165,765.934
164,397,1007.962
169,270,939.296
175,580,819.486
175,589,826.798
175,689,290.753
177,182,784.765
182,188,932.397
188,419,160.208
189,190,267.210
189,192,169.809
190,419,280.546
192,514,547.997
192,593,357.827
198,201,515.359
198,514,167.104
198,515,208.807
201,202,524.119
201,237,402.616
202,244,736.241
202,301,301.637
202,302,216.878
209,310,177.794
216,282,752.538
216,490,1815.293
216,636,520.956
217,349,504.722
221,222,500.086
233,419,1052.225
237,295,539.939
237,443,494.441
237,502,1269.486
244,450,592.878
259,468,381.462
271,468,890.022
282,493,865.067
282,544,1927.467
295,515,252.949
299,301,200.967
301,302,227.360
301,311,180.484
302,443,90.577
303,304,236.874
303,534,1874.057
304,493,869.746
304,536,1028.971
308,544,1097.828
310,311,183.013
311,443,369.266
318,355,643.987
330,391,378.004
330,627,122.936
349,352,623.951
349,491,471.900
349,573,620.179
355,571,2072.304
375,580,640.682
391,627,256.845
395,397,642.045
443,694,1253.095
491,735,487.603
536,540,174.451
540,544,763.525
571,573,598.842
