node_id,x,y
0,4.42488656,0.83468244
1,4.76830516,0.04633215
5,6.32911302,0.99054085
10,5.49834492,5.46042247
14,5.57362499,3.05205194
15,5.54970245,3.71094919
16,4.44923025,4.46513196
22,5.19134126,7.65686319
26,0.40533269,7.52703199
27,1.05092230,4.79805320
32,2.56039750,1.65012235
35,2.89988116,1.62066884
36,5.43144821,9.23431111
37,2.33491339,6.44507126
44,0.85973254,8.57890770
45,0.90445552,8.51383693
46,4.30049925,8.54472792
47,7.81681740,8.54223611
54,1.15305287,4.50121492
58,5.67841986,2.71825913
63,6.28672731,2.70526158
64,7.00716179,0.54362908
67,3.14293564,5.33469552
77,4.23960808,4.53624846
81,4.33490503,9.19045957
82,7.74219707,1.73496425
89,7.06907523,1.73327927
94,6.31448634,1.72973139
95,5.34078455,2.70367629
98,4.52543776,4.53469127
107,5.52234857,4.54309284
108,4.49684574,3.16112999
112,4.47700240,3.71753828
115,2.49572216,3.62970356
117,2.07974853,3.60773941
126,0.62676853,4.83913927
127,0.80164853,4.48409378
130,0.83114103,9.63178516
133,0.85673773,6.66364787
134,0.95527758,6.45130139
135,0.97461270,6.24561054
148,6.23247444,4.54672511
151,6.98664545,4.55918684
152,2.23712294,8.48423848
156,6.24232372,5.61199802
157,6.41672602,5.86337798
158,6.39886062,6.01427227
167,1.07977471,2.63503074
168,7.62474412,0.95531175
173,7.09875889,0.93527350
176,1.09049755,0.80406441
177,1.31640067,0.82665403
179,2.58468783,0.79797490
183,7.61852895,3.73899891
186,6.99987851,3.71941574
187,6.25700808,3.70850685
200,5.36854590,1.70033333
203,3.32873753,0.80463454
208,3.23881077,1.58423026
214,3.24428670,2.51661084
215,2.54406469,2.50693935
217,2.86604677,2.50672700
220,2.48701288,2.66792869
229,1.81215378,2.65443695
235,1.78117826,2.05715340
236,1.69126821,1.54681507
237,1.64961444,1.34939213
241,5.70277677,3.02942182
247,1.11416106,1.28367807
254,6.27096252,9.26742051
255,3.73920108,9.67202105
257,1.11244610,0.18642107
259,7.68098751,5.01890811
260,7.46623812,5.47053742
278,1.37429291,2.05426789
287,1.66480848,0.80467846
308,2.08148831,4.51212953
309,2.11787885,4.45082991
323,5.27394070,3.71710907
324,2.40574422,5.43460622
336,6.29051822,8.56502459
356,1.40350826,2.64450724
362,1.46835588,1.12930957
365,1.47503142,1.34772977
366,1.47454760,1.55754348
367,5.66677145,7.66914356
368,5.42764182,7.64817701
372,7.48622014,6.61654728
379,1.37034044,1.34978910
387,3.03323862,5.80700215
404,7.60633260,4.56789037
423,3.75486101,9.16754217
426,4.41514412,5.46498778
427,3.13129668,9.14559202
432,3.02444872,6.45092919
434,3.05782402,6.83876558
455,4.73839553,0.84012652
462,6.52236675,0.91328007
463,6.60780465,0.92947376
467,1.01292675,4.57931009
468,1.00526224,4.29723080
469,1.01810606,4.20111390
474,0.04536757,3.60970144
481,7.67121376,2.71501817
483,7.02917612,2.71187932
511,3.07937771,2.52023042
512,3.12133589,3.67460834
513,3.05170934,6.75409938
533,0.16577606,8.50897215
541,1.38400187,1.55992194
548,1.67153056,0.21183884
566,2.46727677,4.52398171
596,8.08625443,9.26926270
598,4.22646868,9.18416190
600,5.42472718,8.56180113
608,0.83738461,7.41680446
609,0.10483933,2.04515547
618,0.01683806,0.81772471
649,7.53976518,7.73227559
661,5.47574607,6.59303184
666,6.39333271,6.58993057
681,6.96787207,5.49593990
688,0.30317832,6.47325197
695,3.18006947,8.51738156
697,3.77813811,8.54780063
704,5.37653723,0.89712159
721,2.84842276,2.68713938
728,6.37455052,0.19713599
767,6.50592134,0.16182167
773,2.60223108,0.00000000
780,6.25229700,9.78804183
795,0.00000000,5.16829293
835,4.45779848,0.02985862
847,0.37740282,4.39557159
851,5.04812820,1.68656295
852,0.08839344,2.58794238
856,0.13091488,1.56433193
865,3.12218338,2.60623766
866,3.11320024,2.68013039
869,5.43802955,9.63706692
883,5.73454998,2.07667182
886,2.19294678,9.68546451
897,4.24079634,6.32433284
913,7.54093319,0.57173929
921,4.21810119,9.67169302
930,4.30796956,9.67669679
